Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
id-rather-be-in-the-underdark-t-shirt-d-d-inspired-casual-tee-fantasy-rpg-gamer-apparel,I'd Rather Be In The Underdark T-Shirt | D&D Inspired Casual Tee | Fantasy RPG Gamer Apparel,"<p>Show your love for one of the most mysterious locales in the D&amp;D multiverse with our 'I'd Rather Be In The Underdark' T-Shirt! This statement tee lets everyone know where you'd rather be adventuring. Made with soft, comfortable fabric, it's perfect for your next game night, a casual day out, or as a unique gift for the D&amp;D enthusiast in your life. Dive deep into your love for the Underdark with this cool, casual tee! The unisex soft-style t-shirt puts a new spin on casual comfort. Made from very soft materials, this tee is 100% cotton for solid colors. Heather colors and sports grey include polyester. The shoulders have twill tape for improved durability. There are no side seams. The collar is made with ribbed knitting to prevent curling damage.</p>
<p>.: 100% ring-spun cotton (fiber content may vary for different colors)</p>
<p>.: Light fabric (4.5 oz/yd² (153 g/m²))</p>
<p>.: Eurofit</p>
<p>.: Tear-away label</p>
<p>.: Runs true to size</p>
<p> </p>
<table id=""size-guide"" style=""min-width: 360px;"">
<thead>
<tr>
<th style=""padding: 10px;""> </th>
<th style=""color: #000000; font-weight: 500; text-align: left; font-size: 15px; padding: 10px;"">S</th>
<th style=""color: #000000; font-weight: 500; text-align: left; font-size: 15px; padding: 10px;"">M</th>
<th style=""color: #000000; font-weight: 500; text-align: left; font-size: 15px; padding: 10px;"">L</th>
<th style=""color: #000000; font-weight: 500; text-align: left; font-size: 15px; padding: 10px;"">XL</th>
<th style=""color: #000000; font-weight: 500; text-align: left; font-size: 15px; padding: 10px;"">2XL</th>
<th style=""color: #000000; font-weight: 500; text-align: left; font-size: 15px; padding: 10px;"">3XL</th>
</tr>
</thead>
<tbody>
<tr>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">Width, cm</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">45.72</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">50.80</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">55.88</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">60.96</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">66.04</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">71.12</td>
</tr>
<tr>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">Length, cm</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">71.12</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">73.66</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">76.20</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">78.74</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">81.28</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">83.82</td>
</tr>
<tr>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">Sleeve length, cm</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">20.90</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">21.60</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">22.20</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">22.90</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">23.50</td>
<td style=""padding: 10px; color: #525252; font-size: 15px; border-top: 1px solid #ededed; word-break: break-word;"">24.10</td>
</tr>
</tbody>
</table>
<p> </p>",Printify,,T-Shirt,"Cotton, Crew neck, d&d, d&d t-shirt, DTG, dungeons & dragons shirt, dungeons and dragons, forgotten realms, Men's Clothing, Regular fit, T-shirts, underdark t-shirt, Women's Clothing",true,Color,Sport Grey,Size,S,,,19447057685404339790,100.017117585,,deny,printify,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/9811573704002332426_2048.jpg?v=1704444554,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/8233656280977454489_2048.jpg?v=1704444556,lb,,9.59,true,,,true,,,active
id-rather-be-in-the-underdark-t-shirt-d-d-inspired-casual-tee-fantasy-rpg-gamer-apparel,,,,,,,,,Black,,S,,,51628154956787702490,100.017117585,,deny,printify,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/8233656280977454489_2048.jpg?v=1704444556,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/5931863131784248159_2048.jpg?v=1704444557,lb,,9.59,,,,,,,
id-rather-be-in-the-underdark-t-shirt-d-d-inspired-casual-tee-fantasy-rpg-gamer-apparel,,,,,,,,,Heather Navy,,S,,,17745072340270849649,100.017117585,,deny,printify,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/5931863131784248159_2048.jpg?v=1704444557,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/9811573704002332426_2048.jpg?v=1704444554,lb,,9.59,,,,,,,
id-rather-be-in-the-underdark-t-shirt-d-d-inspired-casual-tee-fantasy-rpg-gamer-apparel,,,,,,,,,Sport Grey,,M,,,62131764814428072151,100.017117585,,deny,printify,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/6340092356068901872_2048.jpg?v=1704444559,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/8233656280977454489_2048.jpg?v=1704444556,lb,,9.59,,,,,,,
id-rather-be-in-the-underdark-t-shirt-d-d-inspired-casual-tee-fantasy-rpg-gamer-apparel,,,,,,,,,Black,,M,,,14061068239647241300,100.017117585,,deny,printify,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/509868926555924818_2048.jpg?v=1704444560,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/5931863131784248159_2048.jpg?v=1704444557,lb,,9.59,,,,,,,
id-rather-be-in-the-underdark-t-shirt-d-d-inspired-casual-tee-fantasy-rpg-gamer-apparel,,,,,,,,,Heather Navy,,M,,,15822970721481905881,100.017117585,,deny,printify,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/15253945099291582000_2048.jpg?v=1704444562,6,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/9811573704002332426_2048.jpg?v=1704444554,lb,,9.59,,,,,,,
id-rather-be-in-the-underdark-t-shirt-d-d-inspired-casual-tee-fantasy-rpg-gamer-apparel,,,,,,,,,Sport Grey,,L,,,11263625094613779217,100.017117585,,deny,printify,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/9673824839645988565_2048.jpg?v=1704444563,7,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/8233656280977454489_2048.jpg?v=1704444556,lb,,9.59,,,,,,,
id-rather-be-in-the-underdark-t-shirt-d-d-inspired-casual-tee-fantasy-rpg-gamer-apparel,,,,,,,,,Black,,L,,,36043412831420741967,100.017117585,,deny,printify,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/15292978291559726355_2048.jpg?v=1704444564,8,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/5931863131784248159_2048.jpg?v=1704444557,lb,,9.59,,,,,,,
id-rather-be-in-the-underdark-t-shirt-d-d-inspired-casual-tee-fantasy-rpg-gamer-apparel,,,,,,,,,Heather Navy,,L,,,81535365056285088371,100.017117585,,deny,printify,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/1369441962607611710_2048.jpg?v=1704444566,9,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/9811573704002332426_2048.jpg?v=1704444554,lb,,9.59,,,,,,,
id-rather-be-in-the-underdark-t-shirt-d-d-inspired-casual-tee-fantasy-rpg-gamer-apparel,,,,,,,,,Sport Grey,,XL,,,43721567820634602506,100.017117585,,deny,printify,19.99,,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0753/0866/3058/files/8233656280977454489_2048.jpg?v=1704444556,lb,,9.59,,,,,,,
